InvNo,Date,Vendor,Brand,InvoiceAmount,InvoicePaid,PaidDate,DaysToPay,DaysXAmount,PureX
9398a,1/2/2025,"Little Tree- The Flower Bowl","The Flower Bowl",1725.00,1669.50,1/10/2025,8.00,13800.00,
9399a,1/2/2025,"Little Tree- Arbor Kitchen LLC","ARBORS WELLNESS/HERBANA",11000.00,11000.00,1/21/2025,19.00,209000.00,
9400a,1/2/2025,"Little Tree- Bloomery Cannabis New Buffalo","BLOOMERY",2800.00,2800.00,2/27/2025,56.00,156800.00,
9407a,1/3/2025,"Little Tree- Dispo Romeo","Dispo",3550.00,3550.00,2/28/2025,56.00,198800.00,
9408a,1/3/2025,"Little Tree- Dispo Hazel Park","Dispo",3200.00,3200.00,6/2/2025,150.00,480000.00,
9409a,1/3/2025,"Little Tree- Dispo South Hashish Boyz","Dispo",1925.00,1925.00,2/14/2025,42.00,80850.00,
9421a,1/7/2025,"Little Tree- All Star Processing","JARS/ALLSTAR",61159.05,61159.05,2/18/2025,42.00,2568680.10,
9427a,1/7/2025,"Little Tree- The Flower Bowl Inkster","The Flower Bowl",1404.25,854.25,1/27/2025,20.00,28085.00,
9440a,1/8/2025,"Gelato- Nirvana Processing","Nirvana",16950.00,16950.00,4/7/2025,89.00,1508550.00,YES
9461a,1/10/2025,"Little Tree- Apothecare Jackson","APOTHECARE",3993.00,3993.00,2/3/2025,24.00,95832.00,
9479a,1/10/2025,"Little Tree- Apothecare Jackson","APOTHECARE",1467.60,1467.60,5/19/2025,129.00,189320.40,
9489a,1/10/2025,"Little Tree- Weisburger Ventures","Levels",34099.55,34099.55,1/24/2025,14.00,477393.70,
9500a,1/14/2025,"Little Tree- Frootz","GRAMAZON/WILDFIRE",1174.44,1174.44,4/2/2025,78.00,91606.32,
9507a,1/15/2025,"Little Tree- Skymint","SKYMINT",27267.79,27267.79,2/13/2025,29.00,790765.91,
9503a,1/16/2025,"Little Tree- Gramazon","GRAMAZON/WILDFIRE",53062.15,53062.15,4/4/2025,78.00,4138847.70,
9504a,1/16/2025,"Gelato- The Exhibit","Exhibit Cannabis",2000.00,2000.00,2/25/2025,40.00,80000.00,YES
9522a,1/16/2025,"Little Tree- Elevated Exotics Escabana","Elevated Exotics",6150.00,0.00,,513.00,3154950.00,
9524a,1/16/2025,"Little Tree- Pure Cannabis Outlet","Pure",30000.00,30000.00,1/24/2025,8.00,240000.00,
9523a,1/17/2025,"Little Tree- Michigan Green Magic","Vibe",5200.00,5200.00,6/11/2025,145.00,754000.00,
9525a,1/17/2025,"Little Tree- The Outpost Marquette","The Outpost",5375.00,5375.00,1/23/2025,6.00,32250.00,
9566a,1/22/2025,"Little Tree- Timber New Buffalo","Stash Ventures LLC",3000.00,3000.00,2/4/2025,13.00,39000.00,
9567a,1/22/2025,"Little Tree- Pleasantrees Processing","Pleasantrees",3350.00,3350.00,12/15/2025,327.00,1095450.00,
9568a,1/22/2025,"Little Tree- Pleasantrees Lincoln Park","Pleasantrees",1975.00,1950.00,12/15/2025,327.00,645825.00,
9569a,1/23/2025,"Little Tree- Refinery Kalamazoo","The Outpost",875.00,875.00,3/3/2025,39.00,34125.00,
9586a,1/24/2025,"Little Tree- Quest Whitmore Lake","HERBOLOGY",2975.00,2975.00,2/21/2025,28.00,83300.00,
9588a,1/27/2025,"Gelato- Cannavibes Emporium","Cannavibes Emporium",2800.00,2800.00,1/29/2025,2.00,5600.00,YES
9638a,1/30/2025,"Little Tree- The Flower Bowl","The Flower Bowl",1494.00,1494.00,2/20/2025,21.00,31374.00,
9668a,1/31/2025,"Little Tree- Timber Muskegon","Stash Ventures LLC",398.75,398.75,2/13/2025,13.00,5183.75,
9669a,1/31/2025,"Little Tree- Timber Cannabis Co Allegan","Stash Ventures LLC",1119.50,1119.50,2/10/2025,10.00,11195.00,
9670a,1/31/2025,"Little Tree- Timber Sturgis","Stash Ventures LLC",1487.50,1487.50,2/13/2025,13.00,19337.50,
9671a,1/31/2025,"Little Tree- Timber Three Rivers","Stash Ventures LLC",1000.00,1000.00,2/14/2025,14.00,14000.00,
9672a,1/31/2025,"Little Tree- Timber Big Rapids","Stash Ventures LLC",425.00,425.00,2/13/2025,13.00,5525.00,
9673a,1/31/2025,"Little Tree- Timber Mt Pleasant","Stash Ventures LLC",425.00,425.00,2/13/2025,13.00,5525.00,
9674a,1/31/2025,"Little Tree- Cloud Cannabis Gaylord","Stash Ventures LLC",642.00,642.00,2/13/2025,13.00,8346.00,
9675a,1/31/2025,"Little Tree- Cloud Cannabis 28th St","Stash Ventures LLC",727.25,727.25,2/13/2025,13.00,9454.25,
9676a,1/31/2025,"Little Tree- Cloud Cannabis Fulton","Stash Ventures LLC",548.00,548.00,2/13/2025,13.00,7124.00,
9677a,1/31/2025,"Little Tree- Cloud Cannabis Muskegon","Stash Ventures LLC",603.00,603.00,2/13/2025,13.00,7839.00,
9678a,1/31/2025,"Little Tree- Cloud Cannabis New Baltimore","Stash Ventures LLC",1975.00,1975.00,2/13/2025,13.00,25675.00,
9679a,1/31/2025,"Little Tree- Cloud Cannabis Traverse City","Stash Ventures LLC",658.75,658.75,2/13/2025,13.00,8563.75,
9680a,1/31/2025,"Little Tree- Cloud Cannabis Utica","Stash Ventures LLC",5262.50,5262.50,2/13/2025,13.00,68412.50,
9681a,1/31/2025,"Little Tree- Cloud Cannabis Ann Arbor","Stash Ventures LLC",1675.00,1675.00,2/13/2025,13.00,21775.00,
9682a,1/31/2025,"Little Tree- Cloud Cannabis Cedar Springs","Stash Ventures LLC",1412.50,1412.50,2/13/2025,13.00,18362.50,
9683a,1/31/2025,"Little Tree- Cloud Cannabis Detroit","Stash Ventures LLC",3212.50,3212.50,2/13/2025,13.00,41762.50,
9684a,1/31/2025,"Little Tree- Cloud Cannabis Kalamazoo","Stash Ventures LLC",862.50,862.50,2/13/2025,13.00,11212.50,
9691a,1/31/2025,"Little Tree- Pure Cannabis Outlet","Pure",20000.00,20000.00,2/4/2025,4.00,80000.00,
9687a,2/3/2025,"Little Tree- FLWRpot","NORTH COAST",6030.00,6030.00,2/12/2025,9.00,54270.00,
9688a,2/3/2025,"Little Tree- Weisburger Ventures","Levels",17871.71,17871.71,2/21/2025,18.00,321690.78,
9694a,2/3/2025,"Gelato- The Exhibit","Exhibit Cannabis",750.00,750.00,3/17/2025,42.00,31500.00,YES
9695a,2/3/2025,"Little Tree- Bud Brothers Battle Creek","Bud Brothers",9125.00,0.00,,495.00,4516875.00,
9696a,2/3/2025,"Little Tree- Bud Brothers Lafayette","Bud Brothers",9125.00,0.00,,495.00,4516875.00,
9697a,2/3/2025,"Little Tree- Bud Brothers Huron","Bud Brothers",9125.00,0.00,,495.00,4516875.00,
9698a,2/3/2025,"Little Tree- Timber Three Rivers","Stash Ventures LLC",162.50,0.00,,495.00,80437.50,
9709a,2/4/2025,"Little Tree- Plush Companies (PlushCo)","Plushco",3566.25,3566.25,2/7/2025,3.00,10698.75,
9718a,2/5/2025,"Little Tree- Gazz","Gazz",6765.00,6765.00,4/18/2025,72.00,487080.00,
9730a,2/5/2025,"Little Tree- Puff Monroe","Puff",1750.00,1750.00,2/19/2025,14.00,24500.00,
9747a,2/10/2025,"Little Tree- Pure Cannabis Outlet","Pure",30100.00,30100.00,2/14/2025,4.00,120400.00,
9780a,2/12/2025,"Little Tree- Skymint","SKYMINT",23525.66,23525.66,3/13/2025,29.00,682244.14,
9781a,2/13/2025,"Little Tree- Dreams Canna","Dreams Canna Southfield",8019.00,8019.00,2/24/2025,11.00,88209.00,
9782a,2/13/2025,"Gelato- 20 Past 4 Jackson","20 Past 4",1400.00,0.00,,485.00,679000.00,YES
9783a,2/13/2025,"Little Tree- 20 Past 4 Mt Morris","20 Past 4",1400.00,0.00,,485.00,679000.00,
9784a,2/13/2025,"Gelato- 20 Past 4","20 Past 4",1400.00,0.00,,485.00,679000.00,YES
9785a,2/13/2025,"Little Tree- 20 Past 4 Sturgis","20 Past 4",1400.00,1400.00,4/11/2025,57.00,79800.00,
9786a,2/13/2025,"Little Tree- Cannaisseur","Cannaisseur",1350.00,1350.00,3/11/2025,26.00,35100.00,
9795a,2/13/2025,"Little Tree- Weisburger Ventures","Levels",14412.50,14412.50,3/4/2025,19.00,273837.50,
9796a,2/13/2025,"Little Tree- The Wellflower","Dispo",2996.00,2996.00,4/9/2025,55.00,164780.00,
9797a,2/13/2025,"Little Tree- Hashish Boyz","Dispo",2773.00,2773.00,2/28/2025,15.00,41595.00,
9798a,2/13/2025,"Little Tree- Dispo Bay City North","Dispo",2557.00,2557.00,4/17/2025,63.00,161091.00,
