InvNo,Date,Vendor,Brand,InvoiceAmount,InvoicePaid,PaidDate,DaysToPay,DaysXAmount,PureX
13107a,4/8/2026,"Gelato- Green Pharm Bay City","Green Pharm",4746.10,0.00,,66.00,313242.60,YES
13108a,4/8/2026,"Little Tree- Jazz Cannabis Club Inkster","Jazz Cannabis Club",7688.00,0.00,,66.00,507408.00,
13109a,4/8/2026,"Little Tree- Jazz Cannabis Club Inkster","Jazz Club",4588.00,0.00,,66.00,302808.00,
13110a,4/8/2026,"Little Tree- Dacut Detroit","Pure",28639.00,28639.00,5/28/2026,50.00,1431950.00,
13119a,4/9/2026,"Little Tree- Objectiv","Objectiv",9628.00,9628.00,4/15/2026,6.00,57768.00,
13121a,4/9/2026,"Little Tree- First Class Camden","First Class",12976.60,12400.03,6/9/2026,61.00,791572.60,
13122a,4/9/2026,"Gelato- Uniq Cannabis MI Greenlife","",50160.39,50160.39,5/21/2026,42.00,2106736.38,YES
13130a,4/10/2026,"Gelato- Puff New Buffalo Green Mountain","Puff",3961.80,0.00,,64.00,253555.20,YES
13131a,4/10/2026,"Gelato- Spark Cannabis","Spark Cannabis",3193.00,3193.00,4/15/2026,5.00,15965.00,YES
13132a,4/10/2026,"Little Tree- Black Market Cannabis Company","HERBOLOGY",1750.00,1750.00,4/27/2026,17.00,29750.00,
13137a,4/13/2026,"Little Tree- High Society Wellness Davison","High Society",1649.20,1649.20,5/14/2026,31.00,51125.20,
13138a,4/13/2026,"Little Tree- House of Zen","House of Zen",1178.00,0.00,,61.00,71858.00,
13139a,4/13/2026,"Little Tree- The Outpost Marquette","The Outpost",4092.00,4092.00,4/16/2026,3.00,12276.00,
13140a,4/13/2026,"Little Tree- Burn Warren","BURN",4206.72,4206.72,4/15/2026,2.00,8413.44,
13141a,4/13/2026,"Little Tree- Blow New Buffalo","Vibe",3124.80,0.00,,61.00,190612.80,
13153a,4/13/2026,"Little Tree- Bloomery Cannabis New Buffalo","BLOOMERY",3648.70,3648.70,6/8/2026,56.00,204327.20,
13154a,4/13/2026,"Little Tree- MCB Distribuotrs","Rush",1675.00,0.00,,61.00,102175.00,
13172a,4/14/2026,"Little Tree- All Star Processing","JARS/ALLSTAR",54652.00,54652.00,5/8/2026,24.00,1311648.00,
13194a,4/15/2026,"Little Tree- Only Alien Cannabis Kalamazoo","Only Alien Cannabis Kalamazoo",3521.60,0.00,,59.00,207774.40,
13195a,4/15/2026,"Little Tree- Happy Daze","Happy Daze",32488.00,0.00,,59.00,1916792.00,
13196a,4/15/2026,"Little Tree- The Dude Abides- White Pigeon","The Dude Abides",6510.00,6510.00,5/11/2026,26.00,169260.00,
13197a,4/15/2026,"Little Tree- Vibe The Ultimate Experience","Vibe",3720.00,3720.00,5/20/2026,35.00,130200.00,
13198a,4/15/2026,"Gelato- Vibe New Buffalo","Vibe",3124.80,0.00,,59.00,184363.20,YES
13199a,4/15/2026,"Little Tree- Rize MNM","Rize",6014.00,6014.00,4/27/2026,12.00,72168.00,
13230a,4/17/2026,"Little Tree- LE Battle Creek","LE Battle Creek",2294.00,2294.00,4/21/2026,4.00,9176.00,
13240a,4/21/2026,"Little Tree- Light N Up Burton","Light N Up",3723.10,1498.24,,53.00,197324.30,
13248a,4/23/2026,"Little Tree- LE Battle Creek","Dispo",2591.60,0.00,,51.00,132171.60,
13251a,4/24/2026,"Little Tree- Premiere Provisions Big Rapids","Premier Provsioning",3100.00,3100.00,4/28/2026,4.00,12400.00,
13252a,4/24/2026,"Little Tree- Arbor Kitchen LLC","ARBORS WELLNESS/HERBANA",8060.00,8060.00,5/11/2026,17.00,137020.00,
13277a,4/28/2026,"Little Tree- First Property Holdings Rize","Rize",6137.20,6137.20,5/14/2026,16.00,98195.20,
13278a,4/28/2026,"Little Tree- Levels Grand Haven","Levels",434.00,434.00,5/18/2026,20.00,8680.00,
13279a,4/28/2026,"Little Tree- Levels Ironwood","Levels",1302.00,1302.00,5/18/2026,20.00,26040.00,
13280a,4/28/2026,"Little Tree- Levels New Buffalo","Levels",2325.00,2325.00,5/18/2026,20.00,46500.00,
13281a,4/28/2026,"Little Tree- Level Niles","Niles",3552.60,3552.60,5/18/2026,20.00,71052.00,
13282a,4/28/2026,"Little Tree- Levels Sturgis","Levels",1243.10,1243.10,5/18/2026,20.00,24862.00,
13283a,4/28/2026,"Little Tree- Levels Waterford","Levels",1581.00,1581.00,5/18/2026,20.00,31620.00,
13284a,4/28/2026,"Little Tree- Levels Kalamazoo","Levels",2179.30,2179.30,5/18/2026,20.00,43586.00,
13290a,4/28/2026,"Little Tree- First Class Lansing","First Class",1395.00,1395.00,5/5/2026,7.00,9765.00,
13303a,4/29/2026,"Little Tree- Green Tree Relief Coldwater","Green Tree Relief",3534.00,3534.00,5/29/2026,30.00,106020.00,
13307a,4/29/2026,"Little Tree- All Star Processing","JARS/ALLSTAR",14828.00,14828.00,5/8/2026,9.00,133452.00,
13308a,4/29/2026,"Little Tree- All Star Processing","JARS/ALLSTAR",7856.80,7856.80,5/8/2026,9.00,70711.20,
13309a,5/1/2026,"Little Tree- Puff Bay City","",1525.20,1525.20,5/26/2026,25.00,38130.00,
13310a,5/1/2026,"Gelato- Puff Madison Heights","Puff",3124.80,3124.80,5/18/2026,17.00,53121.60,YES
13318a,5/1/2026,"Gelato- Homegrown Cannabis Owosso Sandds","",4185.00,0.00,,43.00,179955.00,YES
13319a,5/1/2026,"Little Tree- Timber Grand Rapids","Stash Ventures LLC",1541.27,0.00,,43.00,66274.61,
13320a,5/1/2026,"Little Tree- Timber Holly","Stash Ventures LLC",1869.99,0.00,,43.00,80409.57,
13321a,5/1/2026,"Little Tree- Timber NB","Stash Ventures LLC",2206.55,0.00,,43.00,94881.65,
13322a,5/1/2026,"Little Tree- Cloud Cannabis Kalamazoo","Stash Ventures LLC",1814.16,0.00,,43.00,78008.88,
13323a,5/1/2026,"Little Tree- Cloud Cannabis Detroit","Stash Ventures LLC",2855.93,0.00,,43.00,122804.99,
13324a,5/1/2026,"Little Tree- Cloud Cannabis Cedar Springs","Stash Ventures LLC",1987.74,0.00,,43.00,85472.82,
13325a,5/1/2026,"Little Tree- Cloud Cannabis Ann Arbor","Stash Ventures LLC",2385.22,0.00,,43.00,102564.46,
13326a,5/1/2026,"Little Tree- Cloud Cannabis Utica","Stash Ventures LLC",1880.03,0.00,,43.00,80841.29,
13327a,5/1/2026,"Little Tree- Cloud TC","Stash Ventures LLC",1311.73,0.00,,43.00,56404.39,
13328a,5/1/2026,"Little Tree- Cloud Cannabis Muskegon","Stash Ventures LLC",1539.82,0.00,,43.00,66212.26,
13329a,5/1/2026,"Little Tree- Cloud Cannabis Fulton","Stash Ventures LLC",2106.44,0.00,,43.00,90576.92,
13330a,5/1/2026,"Little Tree- Cloud Cannabis 28th St","Stash Ventures LLC",2354.90,0.00,,43.00,101260.70,
13331a,5/1/2026,"Little Tree- Cloud Cannabis Gaylord","Stash Ventures LLC",2055.85,0.00,,43.00,88401.55,
13332a,5/1/2026,"Little Tree- Cloud Allegan","Stash Ventures LLC",1011.19,0.00,,43.00,43481.17,
13340a,5/5/2026,"Little Tree- Rize Iron Mountain","Rize",4646.90,0.00,,39.00,181229.10,
13341a,5/5/2026,"Little Tree- GLH Lansing","",3292.20,3292.20,5/8/2026,3.00,9876.60,
13342a,5/5/2026,"Little Tree- Great Lakes Holistics Lansing","Great Lakes Holistic",4222.20,3150.00,5/8/2026,3.00,12666.60,
13357a,5/7/2026,"Little Tree- The Dude Abides Sturgis","",3112.40,3112.40,5/11/2026,4.00,12449.60,
13358a,5/7/2026,"Little Tree- Wayland Gas Station","Wayland",3456.50,3456.50,5/11/2026,4.00,13826.00,
13360a,5/7/2026,"Little Tree- All Star Processing","JARS/ALLSTAR",18638.96,0.00,,37.00,689641.52,
13361a,5/7/2026,"Little Tree- All Star Processing","JARS/ALLSTAR",12940.00,0.00,,37.00,478780.00,
13362a,5/7/2026,"Little Tree- Skozee Light N Up","Light N Up",3118.60,0.00,,37.00,115388.20,
13366a,5/12/2026,"Gelato- OL Processing","",26412.50,0.00,,32.00,845200.00,YES
13367a,5/12/2026,"Little Tree- Exotics Ypsi","Exotics",4129.20,4129.20,5/13/2026,1.00,4129.20,
13368a,5/12/2026,"Little Tree- Rize MNM","Rize",9083.00,9083.00,5/18/2026,6.00,54498.00,
13369a,5/12/2026,"Little Tree- LaHaze Processor","LaHaze",1075.00,0.00,,32.00,34400.00,
13370a,5/12/2026,"Little Tree- MBD Ventures","Vibe",3124.80,0.00,,32.00,99993.60,
13376a,5/13/2026,"Little Tree- Medfarms 100 Shafer Processing","",2220.00,0.00,,31.00,68820.00,
13377a,5/13/2026,"Little Tree- Medfarms 100 Shafer Processing","",360.00,0.00,,31.00,11160.00,
13378a,5/13/2026,"Little Tree- Medfarms 100 Shafer Processing","",1800.00,0.00,,31.00,55800.00,
13383a,5/14/2026,"Little Tree- Burn","BURN",4984.18,4984.18,5/19/2026,5.00,24920.90,
13384a,5/14/2026,"Little Tree- High Society Wellness Davison","High Society",4786.40,0.00,,30.00,143592.00,
13386a,5/14/2026,"Little Tree- ProGro","ProGro",10000.00,0.00,,30.00,300000.00,
13387a,5/14/2026,"Little Tree- Level Niles","Niles",3633.22,3633.22,6/1/2026,18.00,65397.96,
13409a,5/20/2026,"Little Tree- Kulture 81","",1813.50,0.00,,24.00,43524.00,
13410a,5/20/2026,"Gelato- Star Budz","",4247.00,0.00,,24.00,101928.00,YES
13411a,5/20/2026,"Gelato- Star Budz","",4247.00,0.00,,24.00,101928.00,YES
13412a,5/20/2026,"Little Tree- Pure Monroe","",3.08,0.00,,24.00,73.92,
